EASTING,NORTHING
256089.6386,2189114.931
256267.6772,2190629.415
256259.1992,2191053.316
256479.6279,2191138.096
256157.4629,2191545.042
256106.5947,2191884.163
256445.7158,2192070.679
257174.8262,2193054.131
257056.1338,2193359.34
257785.2442,2193698.461
258760.2174,2194605.61
258397.3749,2195089.114
258721.2527,2195475.678
258052.6018,2195308.515
257927.2297,2197032.381
255733.5615,2196564.034
255555.5229,2197810.304
256445.7158,2197988.343
256386.3696,2199531.344
260837.3341,2200718.268
261069,2200449
261181,2199450
261427.6633,2198021.938
261335.7894,2194637.915
260922.3567,2192555.44
260447.6747,2191039.52
260386.4254,2189114.931
256089.6386,2189114.931
